timeStep;prevStat;prevAct;prevArg;obtRewd;oldQVal;newQVal;randAct
195;MocafeStateMocafeState<-30394, 15205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-465180170.0;0.0;-93036034.0;true
196;MocafeStateMocafeState<-30594, 15305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-471300570.0;0.0;-94260114.0;true
197;MocafeStateMocafeState<-30794, 15405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-477460970.0;0.0;-95492194.0;true
198;MocafeStateMocafeState<-30994, 15505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-483661370.0;0.0;-96732274.0;true
199;MocafeStateMocafeState<-31194, 15605.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-489901770.0;0.0;-97980354.0;true
200;MocafeStateMocafeState<-31394, 15705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-496182170.0;0.0;-99236434.0;true
201;MocafeStateMocafeState<-31594, 15805.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-502502570.0;0.0;-100500514.0;true
202;MocafeStateMocafeState<-31794, 15905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-508862970.0;0.0;-101772594.0;true
203;MocafeStateMocafeState<-31994, 16005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-515263370.0;0.0;-103052674.0;true
204;MocafeStateMocafeState<-32194, 16105.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-515264970.0;0.0;-103052994.0;false
205;MocafeStateMocafeState<-31994, 16005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-515263370.0;0.0;-103052674.0;true
206;MocafeStateMocafeState<-32194, 16105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-521703770.0;0.0;-104340754.0;true
